ID,Nome,Matricula,Turma,Curso,Semestre,Age,GPA,Attendance_Rate,Study_Hours_per_Day,Travel_Time_Minutes,Stress_Index,Gender_Male,Dropout,Nivel_Risco,Probabilidade_Risco,Recomendacoes,Data_Referencia
53,Diego Silva Batista,202415411,2B,Informática,2024.1,30,5.48,74.8,1.66,70.1,4,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2025-06-25
54,Vitória Costa Araújo,202415573,2B,Edificações,2024.1,34,10.0,67.0,0.41,12.0,7,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-07-30
55,Pedro Almeida Batista,202415587,4A,Edificações,2024.2,28,8.02,91.1,3.14,29.1,3,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-10-18
56,Leonardo Oliveira Barbosa,202415987,1B,Agropecuária,2024.2,21,3.86,87.5,3.31,58.9,6,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2024-09-04
57,Fernanda Costa Ferreira,202416021,3B,Redes de Computadores,2024.1,34,5.38,70.7,3.08,58.7,3,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2024-02-03
58,Larissa Silva Santos,202416185,2A,Enfermagem,2024.2,34,6.13,81.4,1.7,20.7,6,0,0,BAIXO,20,Orientacao para rotina de estudos,2026-02-12
59,Mateus Almeida Batista,202416202,3A,Contabilidade,2024.2,30,10.0,70.5,4.1,38.0,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2024-10-27
60,Camila Monteiro Silva,202416421,4B,Administração,2024.1,33,6.97,71.2,2.19,78.7,8,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2026-04-11
61,Vitória Nascimento Pereira,202416525,3A,Agropecuária,2024.2,30,5.37,84.5,3.44,41.5,3,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-05-28
62,Thiago Ribeiro Pereira,202416731,5B,Contabilidade,2024.2,24,6.07,77.1,2.35,75.4,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2026-12-09
63,Diego Oliveira Teixeira,202417113,1B,Informática,2024.1,26,8.21,73.4,2.02,18.2,6,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-05-30
64,Fernanda Teixeira Araújo,202417201,3B,Enfermagem,2024.1,30,8.08,84.6,2.59,38.0,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-11-25
65,Felipe Souza Batista,202417204,5A,Administração,2024.2,19,8.17,87.6,2.15,26.4,1,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-03-22
66,Aline Rodrigues Barbosa,202417251,2B,Contabilidade,2024.2,22,5.02,86.0,0.83,25.1,5,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2025-11-19
67,Jéssica Rodrigues Teixeira,202417288,3A,Administração,2024.2,21,5.64,100.0,4.18,28.8,5,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-07-01
68,Isabela Costa Souza,202417383,4A,Eletrotécnica,2024.2,20,8.56,76.3,4.07,40.2,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-12-29
69,Gabriel Pereira Oliveira,202417505,1A,Eletrotécnica,2024.2,25,8.21,70.8,4.25,28.4,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-03-11
70,Thiago Oliveira Santos,202417594,3B,Contabilidade,2024.2,27,5.87,66.6,2.17,30.7,6,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2025-09-29
71,Felipe Mendes Ferreira,202417730,2A,Agropecuária,2024.2,34,2.91,100.0,3.02,45.2,5,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2025-01-27
72,Mateus Cardoso Ribeiro,202417869,3B,Logística,2024.2,25,8.13,90.0,2.98,34.8,8,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-03-23
73,Gabriela Pereira Cardoso,202417922,3A,Logística,2024.1,34,7.68,81.5,4.61,23.7,6,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-02-02
74,Amanda Monteiro Teixeira,202418330,5A,Eletrotécnica,2024.1,20,6.23,61.0,2.46,33.1,1,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2026-07-07
75,Isabela Nascimento Costa,202418363,3B,Enfermagem,2024.1,19,6.44,81.5,2.89,55.0,4,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-03-14
76,Rafael Lima Barbosa,202418567,4B,Redes de Computadores,2024.1,26,3.72,74.7,1.77,51.0,3,1,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2026-08-02
77,Amanda Santos Silva,202418729,4B,Informática,2024.1,24,8.28,100.0,1.95,33.9,2,0,0,BAIXO,20,Orientacao para rotina de estudos,2025-07-09
78,Felipe Santos Costa,202418741,1B,Edificações,2024.1,19,7.2,98.7,3.22,43.7,5,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-11-28
79,Gabriel Mendes Barbosa,202418784,2A,Agropecuária,2024.1,19,8.15,100.0,4.04,56.5,10,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2026-07-15
80,Diego Ferreira Batista,202418935,1A,Logística,2024.2,29,5.42,87.3,3.63,42.7,5,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2024-11-14
81,Gustavo Barbosa Rodrigues,202418966,2A,Eletrotécnica,2024.2,20,7.28,78.5,2.39,9.9,7,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-12-02
82,Isabela Gomes Ferreira,202419076,2A,Enfermagem,2024.2,17,8.32,94.8,2.48,10.8,6,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-03-11
83,Carla Oliveira Cardoso,202419423,3B,Informática,2024.1,24,6.62,77.3,1.88,47.0,3,0,0,BAIXO,20,Orientacao para rotina de estudos,2025-05-12
84,Beatriz Nascimento Santos,202419463,2B,Agropecuária,2024.1,17,6.52,93.6,2.48,68.0,4,0,0,BAIXO,20,Manter acompanhamento preventivo,2024-09-29
85,Leonardo Rodrigues Santos,202419500,4B,Redes de Computadores,2024.1,22,7.76,68.7,4.72,29.8,4,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-07-24
86,Marina Barbosa Costa,202419728,2B,Agropecuária,2024.2,34,9.2,72.4,3.22,45.7,7,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2025-07-26
87,Isabela Mendes Batista,202419831,1B,Redes de Computadores,2024.1,20,6.29,84.3,2.36,58.9,7,0,1,MEDIO,65,Encaminhamento para apoio psicologico ou psicossocial,2026-01-29
88,Camila Ribeiro Teixeira,202419932,2B,Contabilidade,2024.1,33,5.03,74.9,2.7,72.0,6,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2025-04-11
89,Amanda Almeida Ferreira,202420011,1B,Redes de Computadores,2024.1,28,4.47,90.5,4.34,50.9,10,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2026-10-10
90,André Araújo Ribeiro,202420071,4A,Informática,2024.1,23,10.0,68.1,1.74,25.2,6,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2026-10-31
91,Lucas Lima Batista,202420135,3B,Edificações,2024.1,33,4.1,75.2,4.81,39.2,6,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-06-27
92,Natália Silva Ferreira,202420171,3B,Informática,2024.2,25,4.77,59.3,3.09,41.3,10,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-05-04
93,Vinicius Souza Araújo,202420181,2B,Agropecuária,2024.1,19,5.84,82.0,3.21,5.0,2,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2026-11-09
94,Ana Rodrigues Silva,202420225,2B,Pedagogia,2024.2,27,5.9,100.0,1.66,75.9,6,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2026-10-09
95,Carla Monteiro Pereira,202420274,2A,Logística,2024.2,16,5.64,81.9,2.35,14.4,5,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2024-03-20
96,Daniel Oliveira Pereira,202420314,3A,Eletrotécnica,2024.1,26,9.22,90.7,1.94,29.1,4,1,0,BAIXO,20,Orientacao para rotina de estudos,2026-01-30
97,Thiago Ribeiro Lima,202420489,4A,Logística,2024.1,18,9.78,53.8,2.3,21.2,7,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-06-25
98,Marcos Lima Monteiro,202420747,1B,Informática,2024.1,16,7.61,83.2,3.94,33.8,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-08-05
99,Vitória Ribeiro Lima,202420765,1A,Pedagogia,2024.1,29,4.42,68.9,3.81,47.1,7,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-02-06
100,Eduarda Mendes Araújo,202420840,5B,Enfermagem,2024.2,20,9.47,80.2,2.78,66.4,4,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-07-31
101,Lucas Costa Teixeira,202420880,5A,Logística,2024.1,29,8.26,56.0,2.71,16.1,4,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-11-15
102,Marina Barbosa Barbosa,202420900,5A,Logística,2024.1,28,6.85,71.1,4.27,40.7,4,0,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia,2025-11-23
103,Felipe Monteiro Souza,202420961,3A,Enfermagem,2024.2,17,8.68,86.1,2.99,25.4,4,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-10-28
104,Marina Oliveira Oliveira,202420962,1A,Informática,2024.1,16,7.19,86.8,1.26,38.8,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2024-12-03
105,Lucas Oliveira Silva,202421141,5B,Eletrotécnica,2024.1,16,7.02,100.0,3.37,5.0,8,1,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2026-06-20
106,Carlos Silva Ferreira,202421164,2A,Pedagogia,2024.1,28,4.96,98.1,1.98,47.2,7,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2026-01-16
107,Marina Oliveira Araújo,202421242,4B,Pedagogia,2024.2,19,7.77,62.3,2.38,49.1,6,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2025-02-26
108,Larissa Nascimento Costa,202421368,2A,Redes de Computadores,2024.2,27,6.73,85.8,4.14,14.9,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2025-10-22
109,Larissa Gomes Nascimento,202421396,3B,Contabilidade,2024.1,21,9.2,79.8,2.11,39.5,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2026-03-18
110,Patrícia Rodrigues Mendes,202421594,4A,Enfermagem,2024.1,28,7.94,90.5,4.79,5.0,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-10-27
111,Gabriel Mendes Souza,202421737,2B,Redes de Computadores,2024.2,19,6.68,71.6,1.55,41.8,3,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Orientacao para rotina de estudos,2026-10-12
112,Eduarda Ferreira Santos,202421804,2A,Agropecuária,2024.1,28,5.18,91.8,3.08,5.0,6,0,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico,2026-07-20
113,Carla Barbosa Araújo,202421855,3A,Eletrotécnica,2024.2,34,4.48,95.3,5.16,68.1,8,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2025-01-07
114,Aline Rodrigues Souza,202422004,2A,Administração,2024.1,22,5.3,92.3,2.02,29.7,8,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2026-06-05
115,Carla Lima Pereira,202422039,3B,Contabilidade,2024.2,34,5.92,58.7,4.89,32.7,3,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia,2026-06-14
116,João Santos Nascimento,202422251,5A,Logística,2024.1,23,7.11,91.4,3.21,26.4,4,1,0,BAIXO,20,Manter acompanhamento preventivo,2025-10-29
117,Carlos Ribeiro Gomes,202422253,3B,Pedagogia,2024.2,31,5.12,100.0,4.1,55.1,8,1,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2025-04-19
118,Aline Mendes Ribeiro,202422333,5A,Eletrotécnica,2024.2,26,4.9,100.0,4.77,28.4,9,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2024-11-06
119,Patrícia Costa Lima,202422339,3A,Edificações,2024.1,29,6.4,55.6,1.3,52.3,10,0,1,ALTO,90,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-08-17
120,Beatriz Monteiro Pereira,202422373,2A,Redes de Computadores,2024.1,32,7.07,93.1,1.98,40.1,5,0,0,BAIXO,20,Orientacao para rotina de estudos,2024-02-07
121,Juliana Pereira Ribeiro,202422502,2A,Edificações,2024.1,25,5.16,72.6,1.43,70.4,7,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial | Orientacao para rotina de estudos,2025-05-26
122,Vitória Ribeiro Barbosa,202422509,5A,Edificações,2024.1,27,3.81,84.4,3.33,65.6,8,0,1,ALTO,90,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2025-07-09
123,Patrícia Ferreira Souza,202422568,1A,Redes de Computadores,2024.2,30,7.19,100.0,2.45,11.8,7,0,0,BAIXO,20,Encaminhamento para apoio psicologico ou psicossocial,2024-01-22
124,Pedro Monteiro Barbosa,202422736,5B,Redes de Computadores,2024.1,20,6.07,84.7,1.88,19.7,5,1,0,BAIXO,20,Orientacao para rotina de estudos,2024-07-04
125,Amanda Monteiro Santos,202422972,4A,Agropecuária,2024.2,21,7.43,69.4,4.11,45.8,5,0,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2024-05-18
126,Gustavo Monteiro Ribeiro,202423071,1B,Contabilidade,2024.2,16,9.04,72.0,4.1,70.6,8,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-07-24
127,Pedro Almeida Monteiro,202423385,1B,Enfermagem,2024.2,26,8.89,77.1,0.28,39.3,3,1,0,BAIXO,20,Orientacao para rotina de estudos,2026-03-07
128,Larissa Ferreira Silva,202423405,1A,Pedagogia,2024.2,17,5.63,83.7,5.54,28.9,3,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico,2025-07-05
129,Marcos Batista Batista,202423458,2A,Agropecuária,2024.2,16,7.57,67.5,2.31,14.6,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2026-07-23
130,Beatriz Costa Batista,202423474,2A,Edificações,2024.2,27,7.59,84.6,1.6,50.6,4,0,0,BAIXO,20,Orientacao para rotina de estudos,2025-06-08
131,Marina Pereira Monteiro,202423494,5B,Pedagogia,2024.1,26,7.87,77.2,4.31,20.0,3,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-06-01
132,Mateus Rodrigues Ribeiro,202423623,1A,Contabilidade,2024.1,29,8.58,83.6,2.97,61.1,6,1,0,BAIXO,20,Manter acompanhamento preventivo,2024-08-15
133,Samuel Barbosa Batista,202423735,1B,Contabilidade,2024.2,21,10.0,61.8,3.85,5.0,5,1,0,BAIXO,20,Contato com responsavel e monitoramento de frequencia,2024-11-22
134,Lucas Monteiro Mendes,202423799,5A,Logística,2024.1,16,7.71,74.4,2.78,63.3,10,1,1,MEDIO,65,Contato com responsavel e monitoramento de frequencia | Encaminhamento para apoio psicologico ou psicossocial,2024-05-01
135,Gabriel Mendes Mendes,202423849,1A,Contabilidade,2024.2,34,5.19,100.0,1.68,44.3,5,1,0,BAIXO,20,Reforco escolar e acompanhamento pedagogico | Orientacao para rotina de estudos,2024-05-20
136,Aline Araújo Barbosa,202423879,2B,Informática,2024.2,24,10.0,93.0,2.43,53.6,5,0,0,BAIXO,20,Manter acompanhamento preventivo,2025-12-25
137,Carla Souza Santos,202423932,4A,Redes de Computadores,2024.2,24,5.54,88.6,2.39,5.0,7,0,1,MEDIO,65,Reforco escolar e acompanhamento pedagogico | Encaminhamento para apoio psicologico ou psicossocial,2025-01-19
